id,title,original_air_date,season,number_in_season,us_viewers_in_millions,imdb_rating,image_url,video_url
423,"Double, Double, Boy in Trouble",10/19/08,20,3,8.09,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/565/23/double_double.jpg,http://www.simpsonsworld.com/video/304460355919
424,Treehouse of Horror XIX,11/2/08,20,4,12.48,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/387/859/treehouse.jpg,http://www.simpsonsworld.com/video/691895363987
425,Dangerous Curves,11/9/08,20,5,8.16,6.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/277/902/dangerous_curves.jpg,http://www.simpsonsworld.com/video/311675459549
426,Homer and Lisa Exchange Cross Words,11/16/08,20,6,8.52,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/220/846/homer_and_lisa_exchange.jpg,http://www.simpsonsworld.com/video/310541891517
427,MyPods and Boomsticks,11/30/08,20,7,7.8,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/179/831/mypods_and_broomstick.jpg,http://www.simpsonsworld.com/video/310498883779
428,The Burns and the Bees,12/7/08,20,8,6.19,6.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/186/663/the_burns_and_the_bees.jpg,http://www.simpsonsworld.com/video/310506051725
429,Lisa the Drama Queen,1/25/09,20,9,5.75,5.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/847/91/lisa_the_drama_queen.jpg,http://www.simpsonsworld.com/video/292944963870
430,"Take My Life, Please",2/15/09,20,10,6.82,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/952/439/Simpsons_20_10.jpg,http://www.simpsonsworld.com/video/273728067781
431,How the Test Was Won,3/1/09,20,11,6.52,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/105/463/how_the_test_was_won.jpg,http://www.simpsonsworld.com/video/277134915702
432,"No Loan Again, Naturally",3/8/09,20,12,5.99,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/286/423/no_loan_again_naturally.jpg,http://www.simpsonsworld.com/video/273029699673
433,Gone Maggie Gone,3/15/09,20,13,5.99,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/286/923/gone_maggie_gone.jpg,http://www.simpsonsworld.com/video/273030211958
434,In the Name of the Grandfather,3/22/09,20,14,6.15,6.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/724/979/in_the_name_of_grandfather.jpg,http://www.simpsonsworld.com/video/307849283838
435,Wedding for Disaster,3/29/09,20,15,6.58,6.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/281/543/wedding_for_disaster.jpg,http://www.simpsonsworld.com/video/273024579646
436,Eeny Teeny Maya Moe,4/5/09,20,16,6.5,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/321/83/eeny_teenie_maya_moe.jpg,http://www.simpsonsworld.com/video/273066051746
437,"The Good, the Sad and the Drugly",4/19/09,20,17,6.5,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/312/799/the_good_sad_and_drugly.jpg,http://www.simpsonsworld.com/video/273057347598
438,Father Knows Worst,4/26/09,20,18,5.94,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/325/487/father_knows_worst.jpg,http://www.simpsonsworld.com/video/273070659848
439,"Waverly Hills, 9-0-2-1-D'oh",5/3/09,20,19,6.75,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/151/763/waverly_hills.jpg,http://www.simpsonsworld.com/video/299732035764
440,Four Great Women and a Manicure,5/10/09,20,20,5.16,6.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/956/343/four_great_women_and_manicure.jpg,http://www.simpsonsworld.com/video/273732163923
441,Coming to Homerica,5/17/09,20,21,5.86,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/743/155/coming_to_homerica.jpg,http://www.simpsonsworld.com/video/729848899646
442,Homer the Whopper,9/27/09,21,1,8.31,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/111/719/Simpsons_21_01.jpg,http://www.simpsonsworld.com/video/250297923589
443,Bart Gets a 'Z',10/4/09,21,2,9.32,6.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/197/399/Bart_Gets_a_Z.jpg,http://www.simpsonsworld.com/video/310517315862
444,The Great Wife Hope,10/11/09,21,3,7.5,6.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/113/671/The_Great_Wife_Hope.jpg,http://www.simpsonsworld.com/video/250299971833
445,Treehouse of Horror XX,10/18/09,21,4,8.59,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/612/359/Treehouse_of_Horror_XX.jpg,http://www.simpsonsworld.com/video/262634051998
446,The Devil Wears Nada,11/15/09,21,5,9.04,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/117/575/Simpsons_21_05.jpg,http://www.simpsonsworld.com/video/250304067959
447,Pranks and Greens,11/22/09,21,6,7.03,6.7,,
448,Rednecks and Broomsticks,11/29/09,21,7,9.02,6.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/120/503/Simpsons_21_07.jpg,http://www.simpsonsworld.com/video/250307139830
449,"O Brother, Where Bart Thou?",12/13/09,21,8,7.11,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/124/407/O_Brother_Where_Bart_Thou.jpg,http://www.simpsonsworld.com/video/250311235599
450,Thursdays with Abie,1/3/10,21,9,8.65,6.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/180/63/Thursdays_with_Abie.jpg,http://www.simpsonsworld.com/video/250369603964
451,Once Upon a Time in Springfield,1/10/10,21,10,14.62,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/189/347/Once_Upon_a_Time_in_Springfield.jpg,http://www.simpsonsworld.com/video/250379331672
452,Million Dollar Maybe,1/31/10,21,11,5.11,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/603/859/Simpsons_21_11.jpg,http://www.simpsonsworld.com/video/279804995696
453,Boy Meets Curl,2/14/10,21,12,5.87,6.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/195/203/Boy_Meets_Curl.jpg,http://www.simpsonsworld.com/video/250385475646
454,The Color Yellow,2/21/10,21,13,6.08,6.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/595/799/The_Color_Yellow.jpg,http://www.simpsonsworld.com/video/255100483932
455,Postcards from the Wedge,3/14/10,21,14,5.23,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/200/83/Postcards_from_the_Wedge.jpg,http://www.simpsonsworld.com/video/250390595937
456,Stealing First Base,3/21/10,21,15,5.69,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/206/439/Simpsons_21_15.jpg,http://www.simpsonsworld.com/video/250397251688
457,The Greatest Story Ever D'ohed,3/28/10,21,16,5.69,5.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/607/763/The_Greatest_Story_Ever_D_Ohed.jpg,http://www.simpsonsworld.com/video/279809091713
458,American History X-cellent,4/11/10,21,17,5.65,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/312/895/American_History_X-Cellent.jpg,http://www.simpsonsworld.com/video/250508867924
459,Chief of Hearts,4/18/10,21,18,5.93,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/319/227/Chief_of_Hearts.jpg,http://www.simpsonsworld.com/video/250515523850
460,The Squirt and the Whale,4/25/10,21,19,5.94,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/323/131/The_Squirt_and_the_Whale.jpg,http://www.simpsonsworld.com/video/250519619700
461,To Surveil with Love,5/2/10,21,20,6.06,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/326/559/Simpsons_21_20.jpg,http://www.simpsonsworld.com/video/250523203904
462,Moe Letter Blues,5/9/10,21,21,5.66,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/392/474/Simpsons_21_21.jpg,http://www.simpsonsworld.com/video/250592323527
463,The Bob Next Door,5/16/10,21,22,6.26,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/334/867/The_Bob_Next_Door.jpg,http://www.simpsonsworld.com/video/250531907855
464,Judge Me Tender,5/23/10,21,23,5.74,6.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/571/375/Simpsons_21_23.jpg,http://www.simpsonsworld.com/video/255074883631
465,Elementary School Musical,9/26/10,22,1,7.75,6.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/433/79/ElementarySchoolMusical.jpg,http://www.simpsonsworld.com/video/263519811935
466,Loan-a Lisa,10/3/10,22,2,8.59,6.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/438/959/Simpsons_22_02.jpg,http://www.simpsonsworld.com/video/263525955686
467,MoneyBart,10/10/10,22,3,6.72,6.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/444/315/Simpsons_22_03.jpg,http://www.simpsonsworld.com/video/263531587720
468,Treehouse of Horror XXI,11/7/10,22,4,8.19,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/487/783/Treehouse_of_Horror.jpg,http://www.simpsonsworld.com/video/263577155794
469,"Lisa Simpson, This Isn't Your Life",11/14/10,22,5,8.97,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/452/622/Simpsons_22_05.jpg,http://www.simpsonsworld.com/video/263540291528
470,The Fool Monty,11/21/10,22,6,6.58,6.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/456/526/TheFoolMonty.jpg,http://www.simpsonsworld.com/video/263544387571
471,How Munched is That Birdie in the Window?,11/28/10,22,7,9.38,6.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/457/1003/HowMunchedisthatBirdie.jpg,http://www.simpsonsworld.com/video/263545923923
472,The Fight Before Christmas,12/5/10,22,8,9.54,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/462/883/TheFightBeforeChristmas.jpg,http://www.simpsonsworld.com/video/263551043814
473,Donnie Fatso,12/12/10,22,9,7.18,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/482/903/DonnieFatso.jpg,http://www.simpsonsworld.com/video/263572035826
474,Moms I'd Like to Forget,1/9/11,22,10,12.6,6.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/214/790/Simpsons_22_10.jpg,http://www.simpsonsworld.com/video/256848451515
475,Flaming Moe,1/16/11,22,11,6.47,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/490/210/Simpsons_22_11.jpg,http://www.simpsonsworld.com/video/263579715535
476,Homer the Father,1/23/11,22,12,6.5,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/217/719/Simpsons_22_12.jpg,http://www.simpsonsworld.com/video/256851523744
477,The Blue and the Gray,2/13/11,22,13,5.61,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/318/447/Simpsons_22_13.jpg,http://www.simpsonsworld.com/video/254809667917
478,Angry Dad: The Movie,2/20/11,22,14,6.35,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/322/851/Simpsons_22_14.jpg,http://www.simpsonsworld.com/video/254814275630
479,The Scorpion's Tale,3/6/11,22,15,6.2,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/326/255/Simpsons_22_15.jpg,http://www.simpsonsworld.com/video/254817859928
480,A Midsummer's Nice Dream,3/13/11,22,16,5.44,6.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/330/159/Simpsons_22_16.jpg,http://www.simpsonsworld.com/video/254821955889
481,Love Is a Many Strangled Thing,3/27/11,22,17,6.14,6.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/338/466/Simpsons_22_17.jpg,http://www.simpsonsworld.com/video/254830659539
482,The Great Simpsina,4/10/11,22,18,4.99,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/372/651/Simpsons_22_18.jpg,http://www.simpsonsworld.com/video/254866499808
483,The Real Housewives of Fat Tony,5/1/11,22,19,6.1,6.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/376/55/Simpsons_22_19.jpg,http://www.simpsonsworld.com/video/254870083832
484,Homer Scissorhands,5/8/11,22,20,5.48,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/381/935/Simpsons_22_20.jpg,http://www.simpsonsworld.com/video/254876227684
485,500 Keys,5/15/11,22,21,6,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/386/315/Simpsons_22_21.jpg,http://www.simpsonsworld.com/video/254880835816
486,The Ned-Liest Catch,5/22/11,22,22,5.25,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/596/775/Simpsons_22_22.jpg,http://www.simpsonsworld.com/video/255101507699
487,The Falcon and the D'ohman,9/25/11,23,1,8.08,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/751/263/TheFalconandtheDohman.jpg,http://www.simpsonsworld.com/video/273517123847
488,Bart Stops to Smell the Roosevelts,10/2/11,23,2,6.19,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/752/739/BartStopstoSmelltheRoose.jpg,http://www.simpsonsworld.com/video/273518659843
489,Treehouse of Horror XXII,10/30/11,23,3,8.1,6.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/680/507/reehouseofHorrorXXII.jpg,http://www.simpsonsworld.com/video/230493251807
490,Replaceable You,11/6/11,23,4,7.97,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/960/747/ReplaceableYou.jpg,http://www.simpsonsworld.com/video/273736771817
491,The Food Wife,11/13/11,23,5,7.5,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/184/682/TheFoodWife.jpg,http://www.simpsonsworld.com/video/233194563539
492,The Book Job,11/20/11,23,6,5.77,7.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/400/295/TheBookJob.jpg,http://www.simpsonsworld.com/video/264559171655
493,The Man in the Blue Flannel Pants,11/27/11,23,7,5.61,6.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/182/731/TheManintheBlueFlannel.jpg,http://www.simpsonsworld.com/video/233192515983
494,The Ten-Per-Cent Solution,12/4/11,23,8,9.01,6.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/702/479/TheTenPerCentSolution.jpg,http://www.simpsonsworld.com/video/230516291714
495,Holidays of Future Passed,12/11/11,23,9,6.43,8.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/702/979/HolidaysofFuturePassed.jpg,http://www.simpsonsworld.com/video/230516803889
496,"Politically Inept, with Homer Simpson",1/8/12,23,10,5.07,6.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/733/735/Simpsons_23_10.jpg,http://www.simpsonsworld.com/video/230549059731
497,The D'oh-cial Network,1/15/12,23,11,11.48,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/736/663/Simpsons_23_11.jpg,http://www.simpsonsworld.com/video/230552131592
498,Moe Goes from Rags to Riches,1/29/12,23,12,5.12,5.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/738/115/Simpsons_23_12.jpg,http://www.simpsonsworld.com/video/230553667901
499,The Daughter Also Rises,2/12/12,23,13,4.26,6.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/746/423/TheDaughterAlsoRises.jpg,http://www.simpsonsworld.com/video/230562371905
500,At Long Last Leave,2/19/12,23,14,5.77,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/726/903/Simpsons_23_14_1280x720_279065667661.jpg,http://www.simpsonsworld.com/video/230541891832
501,Exit Through the Kwik-E-Mart,3/4/12,23,15,5.09,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/572/355/Exit%20through.jpg,http://www.simpsonsworld.com/video/304468035701
502,How I Wet Your Mother,3/11/12,23,16,4.97,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/779/630/HowIWetYourMother.jpg,http://www.simpsonsworld.com/video/230597187582
503,"Them, Robot",3/18/12,23,17,5.25,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/774/751/ThemRobot.jpg,http://www.simpsonsworld.com/video/230592067926
504,Beware My Cheating Bart,4/15/12,23,18,4.86,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/838/515/Beware_my_cheating.jpg,http://www.simpsonsworld.com/video/311189571768
505,A Totally Fun Thing That Bart Will Never Do Again,4/29/12,23,19,5,7.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/756/143/ATotallyFunThingThatBartWill.jpg,http://www.simpsonsworld.com/video/273522243657
506,The Spy Who Learned Me,5/6/12,23,20,4.84,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/771/823/TheSpyWhoLearnedMe.jpg,http://www.simpsonsworld.com/video/230588995967
507,Ned 'n Edna's Blend,5/13/12,23,21,4.07,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/70/302/NednEdnasBlend.jpg,http://www.simpsonsworld.com/video/277098051530
508,Lisa Goes Gaga,5/20/12,23,22,4.82,4.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/180/779/LisaGoesGaga.jpg,http://www.simpsonsworld.com/video/233190467851
509,Moonshine River,9/30/12,24,1,8.08,6.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/478/963/Moonshine_River.jpg,http://www.simpsonsworld.com/video/221691971633
510,Treehouse of Horror XXIII,10/7/12,24,2,6.57,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/482/367/Simpsons_24_02.jpg,http://www.simpsonsworld.com/video/221695555645
511,Adventures in Baby-Getting,11/4/12,24,3,5.65,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/476/11/Adventures_in_Baby_Getting.jpg,http://www.simpsonsworld.com/video/221688899646
512,Gone Abie Gone,11/11/12,24,4,6.86,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/476/11/Gone_Abie_Gone.jpg,http://www.simpsonsworld.com/video/221688899887
513,Penny-Wiseguys,11/18/12,24,5,5.06,6.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/481/391/Penny_Wiseguys.jpg,http://www.simpsonsworld.com/video/221694531617
514,A Tree Grows in Springfield,11/25/12,24,6,7.46,6.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/979/907/A_Tree_Grows_in_Springfield.jpg,http://www.simpsonsworld.com/video/229733443727
515,The Day the Earth Stood Cool,12/9/12,24,7,7.44,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/105/839/The_Day_the_Earth_Stood_Cool.jpg,http://www.simpsonsworld.com/video/222374467937
516,To Cur with Love,12/16/12,24,8,3.77,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/217/651/To_Cur_with_Love.jpg,http://www.simpsonsworld.com/video/222491715618
517,Homer Goes to Prep School,1/6/13,24,9,8.97,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/113/647/Homer_Goes_to_Prep_School.jpg,http://www.simpsonsworld.com/video/222382659887
518,A Test Before Trying,1/13/13,24,10,5.04,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/119/3/A_Test_Before_Trying.jpg,http://www.simpsonsworld.com/video/222388291945
519,The Changing of the Guardian,1/27/13,24,11,5.23,6.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/1011/663/The_Changing_of_the_Guardian.jpg,http://www.simpsonsworld.com/video/257684035668
520,Love is a Many-Splintered Thing,2/10/13,24,12,4.19,6.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/1009/710/Love_is_a_Many_Splintered_Thing.jpg,http://www.simpsonsworld.com/video/257681987573
521,Hardly Kirk-ing,2/17/13,24,13,4.57,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/1014/91/Hardly_Kirking.jpg,http://www.simpsonsworld.com/video/257686595928
522,Gorgeous Grampa,3/3/13,24,14,4.66,6.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/1014/591/Gorgeous_Grampa.jpg,http://www.simpsonsworld.com/video/257687107857
523,"Black Eyed, Please",3/10/13,24,15,4.85,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/1017/18/Black_Eyed_Please.jpg,http://www.simpsonsworld.com/video/257689667578
524,Dark Knight Court,3/17/13,24,16,4.89,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/16/467/Dark_Knight_Court.jpg,http://www.simpsonsworld.com/video/257714243647
525,What Animated Women Want,4/14/13,24,17,4.11,6.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/26/226/What_Animated_Women_Want.jpg,http://www.simpsonsworld.com/video/257724483545
526,Pulpit Friction,4/28/13,24,18,4.54,6.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/30/131/Pulpit_Friction.jpg,http://www.simpsonsworld.com/video/257728579751
527,Whiskey Business,5/5/13,24,19,4.43,6.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/38/439/Whiskey_Business__009804.jpg,http://www.simpsonsworld.com/video/257737283653
528,The Fabulous Faker Boy,5/12/13,24,20,4.16,6.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/60/411/The_Fabulous_Faker_Boy.jpg,http://www.simpsonsworld.com/video/257760323921
529,The Saga of Carl,5/19/13,24,21,4.01,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/54/54/The_Saga_of_Carl.jpg,http://www.simpsonsworld.com/video/257753667515
530,Dangers on a Train,5/19/13,24,22,4.52,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/67/743/Dangers_on_a_Train.jpg,http://www.simpsonsworld.com/video/257768003795
531,Homerland,9/29/13,25,1,6.37,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/98/3/homer_land.jpg,http://www.simpsonsworld.com/video/307191875741
532,Treehouse of Horror XXIV,10/6/13,25,2,6.42,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/975/803/Simpsons_25_01.jpg,http://www.simpsonsworld.com/video/310259779794
533,Four Regrettings and a Funeral,11/3/13,25,3,5.43,6.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/290/90/Four_regrettings_and.jpg,http://www.simpsonsworld.com/video/311688259548
534,YOLO,11/10/13,25,4,4.2,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/577/235/YOLO.jpg,http://www.simpsonsworld.com/video/304473155645
535,Labor Pains,11/17/13,25,5,4.08,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/757/958/Labor_Pains.jpg,http://www.simpsonsworld.com/video/311105091548
536,The Kid Is All Right,11/24/13,25,6,6.78,6.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/203/755/The_Kid_is_all_right.jpg,http://www.simpsonsworld.com/video/310523971648
537,Yellow Subterfuge,12/8/13,25,7,6.85,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/580/663/Simpsons_25_10.jpg,http://www.simpsonsworld.com/video/304476739664
538,White Christmas Blues,12/15/13,25,8,8.48,6.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/104/859/White%20Christmas%20Blues.jpg,http://www.simpsonsworld.com/video/307199043880
539,Steal This Episode,1/5/14,25,9,12.04,7.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/203/255/Steal_this_Episode.jpg,http://www.simpsonsworld.com/video/310523459925
540,Married to the Blob,1/12/14,25,10,4.83,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/220/347/married_to_the_blob.jpg,http://www.simpsonsworld.com/video/310541379637
541,Specs and the City,1/26/14,25,11,3.87,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/109/739/Specs_and_the_city.jpg,http://www.simpsonsworld.com/video/307204163997
542,Diggs,3/9/14,25,12,2.69,6.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/208/635/Diggs.jpg,http://www.simpsonsworld.com/video/310529091639
543,The Man Who Grew Too Much,3/9/14,25,13,3.75,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/112/667/Simpsons_25_13.jpg,http://www.simpsonsworld.com/video/307207235909
544,The Winter of His Content,3/16/14,25,14,4.02,6.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/114/619/Simpsons_25_15.jpg,http://www.simpsonsworld.com/video/307209283970
545,The War of Art,3/23/14,25,15,3.98,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/770/147/Simpsons_25_16.jpg,http://www.simpsonsworld.com/video/311117891947
546,You Don't Have to Live Like a Referee,3/30/14,25,16,3.91,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/592/875/you_dont_have_to_live.jpg,http://www.simpsonsworld.com/video/304489539783
547,Luca$,4/6/14,25,17,4.3,6.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/603/610/Simpsons_25_18.jpg,http://www.simpsonsworld.com/video/304500803520
548,Days of Future Future,4/13/14,25,18,3.64,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/973/851/days_of_future_future.jpg,http://www.simpsonsworld.com/video/310257731892
549,What to Expect When Bart's Expecting,4/27/14,25,19,3.45,5.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/119/499/what_to_expect_when_barts.jpg,http://www.simpsonsworld.com/video/307214403888
550,Brick Like Me,5/4/14,25,20,4.39,7.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/889/791/brick_like_me.jpg,http://www.simpsonsworld.com/video/311243331763
551,Pay Pal,5/11/14,25,21,3.66,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/605/563/pay_pal.jpg,http://www.simpsonsworld.com/video/304502851923
552,The Yellow Badge of Cowardge,5/18/14,25,22,3.28,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/124/379/the_yellow_badge_of_cowardge.jpg,http://www.simpsonsworld.com/video/307219523604
553,Clown in the Dumps,9/28/14,26,1,8.53,5.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/942/347/Simpsons_26_01.jpg,http://www.simpsonsworld.com/video/334920771636
554,The Wreck of the Relationship,10/5/14,26,2,4.27,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/947/391/Simpsons_26_02.jpg,http://www.simpsonsworld.com/video/346737219924
555,Super Franchise Me,10/12/14,26,3,7.33,6.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/154/303/Simpsons_26_03.jpg,http://www.simpsonsworld.com/video/340536899599
556,Treehouse of Horror XXV,10/19/14,26,4,7.76,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/628/699/TheSimpsons_SABF21_2500_1280x720_344252483550.jpg,http://www.simpsonsworld.com/video/344255555880
557,Opposites A-Frack,11/2/14,26,5,4.22,6.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/309/823/TheSimpsons_SABF22_2500_1280x720_351438403698.jpg,http://www.simpsonsworld.com/video/351437379941
558,Simpsorama,11/9/14,26,6,6.7,7.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/177/186/Simpsons_26_06.jpg,http://www.simpsonsworld.com/video/355593283530
559,Blazed and Confused,11/16/14,26,7,6.7,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/571/1003/Simpsons_26_07.jpg,http://www.simpsonsworld.com/video/359228483622
560,Covercraft,11/23/14,26,8,3.45,6.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/371/575/TheSimpsons_TABF02_2500_1280x720_362237507766.jpg,http://www.simpsonsworld.com/video/362239555757
561,I Won't Be Home for Christmas,12/7/14,26,9,6.52,6.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/947/871/TheSimpsons_TABF03_2500_1280x720_368211523850.jpg,http://www.simpsonsworld.com/video/368212547872
562,The Man Who Came to Be Dinner,1/4/15,26,10,10.62,6.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/752/215/TheSimpsons_RABF15_2500_1280x720_379818051609.jpg,http://www.simpsonsworld.com/video/379818563729
563,Bart's New Friend,1/11/15,26,11,4.28,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/716/351/TheSimpsons_TABF05_2500_1280x720_383000643563.jpg,http://www.simpsonsworld.com/video/383002179865
564,The Musk Who Fell to Earth,1/25/15,26,12,3.29,5.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/76/255/TheSimpsons_TABF04_2500_1280x720_388772419542.jpg,http://www.simpsonsworld.com/video/388773443652
